index,type,label,file,review,
0,test,neg,0_2.txt,"The plot was confusing and lacked coherence, making it difficult to follow the storyline.",
1,test,neg,10000_4.txt,Terrible acting from the cast  the performances felt forced and uninspired.,
2,test,neg,10001_1.txt,"The special effects were laughably bad, resembling something from a low-budget student film.",
3,test,neg,10002_3.txt,The dialogue was cringe-worthy and felt like it was written by someone with no understanding of human interaction.,
4,test,neg,10003_3.txt,"The cinematography was headache-inducing, with shaky cam and poorly framed shots throughout.",
5,test,neg,10004_2.txt,The soundtrack was forgettable and did nothing to enhance the overall viewing experience.,
6,test,neg,10005_2.txt,The characters were one-dimensional and lacked any depth or development.,
7,test,neg,10006_2.txt,"The film relied too heavily on clichés, making it predictable and unoriginal.",
8,test,neg,10007_4.txt,"The pacing was painfully slow, and it felt like the movie dragged on forever.",
9,test,neg,10008_4.txt,The costume design was tacky and detracted from the film's supposed serious tone.,
10,test,neg,10009_3.txt,The climax was anticlimactic and left me feeling unsatisfied with the resolution.,
11,test,neg,1000_3.txt,"The humor was forced, and the jokes fell flat, leaving the audience groaning in disappointment.",
12,test,neg,10010_2.txt,The film's attempts at social commentary were heavy-handed and preachy.,
13,test,neg,10011_1.txt,The CGI was so poorly done that it took me out of the movie completely.,
14,test,neg,10012_1.txt,"The characters' motivations were unclear, making it difficult to empathize with them.",
15,test,neg,10013_4.txt,The movie relied on gratuitous violence and gore to compensate for a lackluster plot.,
16,test,neg,10014_2.txt,The dialogue was filled with cringe-worthy one-liners that felt out of place.,
17,test,neg,10015_4.txt,The twist ending was predictable and failed to deliver any real impact.,
18,test,neg,10016_3.txt,The romantic subplot felt forced and lacked any genuine chemistry between the characters.,
19,test,neg,10017_1.txt,"The film's message was muddled and unclear, leaving me with more questions than answers.",
20,test,neg,10018_1.txt,The cinematography was bland and lacked any creative flair.,
21,test,neg,10019_1.txt,"The plot holes were numerous and distracting, leaving the audience with an unsatisfying experience.",
22,test,neg,1001_4.txt,The characters made unrealistic and irrational decisions that undermined the story.,
23,test,neg,10020_1.txt,The film's attempt at genre-blending resulted in a messy and incoherent narrative.,
24,test,neg,10021_3.txt,"The editing was choppy, making it difficult to follow the sequence of events.",
25,test,neg,10022_4.txt,The CGI monsters looked cartoonish and failed to evoke any sense of fear or awe.,
26,test,neg,10023_4.txt,"The film's tone was inconsistent, shifting awkwardly between comedy and drama.",
27,test,neg,10024_3.txt,"The set design was unconvincing, making it hard to immerse myself in the movie's world.",
28,test,neg,10025_2.txt,The soundtrack was jarring and clashed with the tone of the scenes.,
29,test,neg,10026_3.txt,"The film lacked any originality, feeling like a rehash of tired and overused tropes.",
30,test,neg,10027_1.txt,The characters were so unlikeable that I found it hard to care about their fates.,
31,test,neg,10028_3.txt,The plot twists were nonsensical and felt like they were thrown in for shock value.,
32,test,neg,10029_1.txt,The film's attempt at political commentary was heavy-handed and lacked nuance.,
33,test,neg,1002_3.txt,"The pacing was uneven, with long stretches of boredom punctuated by random bursts of action.",
34,test,neg,10030_3.txt,The dialogue was riddled with cheesy and cringe-inducing lines.,
35,test,neg,10031_2.txt,The film's themes were shallow and failed to explore any meaningful depth.,
36,test,neg,10032_1.txt,The CGI animals looked fake and took away from the realism of the film.,
37,test,neg,10033_1.txt,The film relied on outdated and offensive stereotypes that left a sour taste in my mouth.,
38,test,neg,10034_1.txt,"The characters lacked any redeeming qualities, making it hard to root for them.",
39,test,neg,10035_1.txt,"The film's marketing was misleading, promising a different experience than what was delivered.",
40,test,neg,10036_1.txt,"The cinematography was overly stylized, sacrificing substance for flashy visuals.",
41,test,neg,10037_1.txt,"The plot was overly convoluted, with unnecessary subplots that added confusion.",
42,test,neg,10038_4.txt,The film's attempt at a twist ending felt forced and contrived.,
43,test,neg,10039_1.txt,The pacing was so slow that it felt like nothing happened throughout the entire movie.,
44,test,neg,1003_4.txt,The film's attempt at humor was juvenile and catered to the lowest common denominator.,
45,test,neg,10040_2.txt,The romantic subplot felt tacked on and added nothing to the overall narrative.,
46,test,neg,10041_1.txt,The film's ending was abrupt and left too many loose ends untied.,
47,test,neg,10042_1.txt,"The characters lacked any discernible motivation, making their actions feel arbitrary.",
48,test,neg,10043_1.txt,The film's social commentary was heavy-handed and lacked subtlety.,
49,test,neg,10044_2.txt,The CGI effects were outdated and looked like they belonged in a movie from two decades ago.,
50,test,neg,10045_1.txt,I saw this movie yesterday and thought it was awful,
51,test,pos,0_10.txt,"The plot was brilliantly crafted, keeping me engaged from start to finish with its clever twists.",
52,test,pos,10000_7.txt,"The cast delivered outstanding performances, bringing depth and authenticity to their characters.",
53,test,pos,10001_9.txt,"The special effects were top-notch, seamlessly blending with the narrative and enhancing the overall experience.",
54,test,pos,10002_8.txt,"The dialogue was sharp and witty, showcasing a true understanding of human interaction.",
55,test,pos,10003_8.txt,"The cinematography was breathtaking, featuring stunning visuals and well-composed shots throughout.",
56,test,pos,10004_9.txt,"The soundtrack elevated the film to another level, perfectly complementing the mood and tone.",
57,test,pos,10005_8.txt,"The characters were richly developed, each with their own unique arc and motivations.",
58,test,pos,10006_7.txt,"The film was refreshingly original, offering a unique take on familiar genres and tropes.",
59,test,pos,10007_10.txt,"The pacing was perfect, keeping the momentum going without a dull moment.",
60,test,pos,10008_8.txt,"The costume design was impeccable, adding authenticity to the characters and the world they inhabit.",
61,test,pos,10009_10.txt,"The climax was thrilling and satisfying, providing a resolution that lived up to the buildup.",
62,test,pos,1000_9.txt,"The humor was clever and well-executed, eliciting genuine laughs without feeling forced.",
63,test,pos,10010_9.txt,"The film's social commentary was thought-provoking, adding depth and relevance to the storyline.",
64,test,pos,10011_9.txt,"The CGI was seamlessly integrated, creating realistic and awe-inspiring visuals.",
65,test,pos,10012_9.txt,"The characters' motivations were clear and relatable, allowing the audience to connect with them emotionally.",
66,test,pos,10013_9.txt,The movie struck a perfect balance between action and character development.,
67,test,pos,10014_7.txt,"The twists and turns in the plot were unexpected, keeping me on the edge of my seat.",
68,test,pos,10015_8.txt,The romantic subplot felt organic and added a layer of depth to the overall narrative.,
69,test,pos,10016_8.txt,"The film's message was powerful and left a lasting impact, prompting reflection after the credits rolled.",
70,test,pos,10017_8.txt,"The cinematography showcased innovative techniques, contributing to the film's overall artistic excellence.",
71,test,pos,10018_8.txt,"The plot was intellectually stimulating, leaving room for interpretation and discussion.",
72,test,pos,10019_8.txt,The attention to detail in set design created a believable and immersive world.,
73,test,pos,1001_10.txt,"The soundtrack was memorable, with music that resonated long after the movie ended.",
74,test,pos,10020_8.txt,"The characters exhibited growth and development, making their journey feel satisfying and complete.",
75,test,pos,10021_9.txt,The film successfully tackled complex themes without oversimplifying or preaching.,
